Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
D Jail House Restaurant,"Awadhi, Chinese, Mughlai, North Indian, Beverages",3.9,"₹1,000 for two",7.2,"Sikandra, Agra","Ambiance, Diverse Menu, Impeccable Presentation","Awadhi, Chinese, Mughlai, North Indian, BeveragesAmbiance, Diverse Menu, Impeccable Presentation₹1,000 for two3.9"
Agarwal Restaurant Sweets And Dairy,"North Indian, South Indian, Fast Food, Desserts, Chinese, Beverages",4.0,₹500 for two,6.0,"Shahganj, Agra","Variety of Beer, Seasonal Menu, Trendy Setting","North Indian, South Indian, Fast Food, Desserts, Chinese, BeveragesVariety of Beer, Seasonal Menu, Trendy Setting₹500 for two4.0"
Sips And Bites,"Sandwich, Burger, Pizza, Fast Food, Shake, North Indian",3.8,₹300 for two,3.2,"Lohamandi, Agra","Hospitable Staff, Authentic Flavors, Quantity","Sandwich, Burger, Pizza, Fast Food, Shake, North IndianHospitable Staff, Authentic Flavors, Quantity₹300 for two3.8"
Sher - E - Punjab Restaurant,North Indian,4.1,₹600 for two,3.3,"Kamla Nagar, Agra","Good Music, Main Course, Exquisite Taste","North IndianGood Music, Main Course, Exquisite Taste₹600 for two4.1"
Deviram Sweets & Food Plaza,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",4.0,₹450 for two,4.0,"Tajganj, Agra","Good Bartenders, Main Course, Seasonal Menu","Mithai, North Indian, Fast Food, Chinese, South Indian, BiryaniGood Bartenders, Main Course, Seasonal Menu₹450 for two4.0"
Krishiv Khana Khazana,"North Indian, Chinese, South Indian, Fast Food, Shake, Beverages",New,₹350 for two,4.8,"Dayal Bagh, Agra","Clean Environment, Main Course, Memorable Experience","North Indian, Chinese, South Indian, Fast Food, Shake, BeveragesClean Environment, Main Course, Memorable Experience₹350 for twoNew"
Tomars Hygiene Kitchen,"North Indian, Mughlai",4.1,₹600 for two,3.2,"Tajganj, Agra","Staff, Breakfast, Seasonal Menu","North Indian, MughlaiStaff, Breakfast, Seasonal Menu₹600 for two4.1"
Soami's Rasoi,"North Indian, Chinese, Fast Food, South Indian",4.2,"₹1,000 for two",4.0,"Dayal Bagh, Agra","Good Bartenders, Live Sports Screening, Cafe","North Indian, Chinese, Fast Food, South IndianGood Bartenders, Live Sports Screening, Cafe₹1,000 for two4.2"
Tirupati's Dosa Factory,"South Indian, Chinese, Beverages",4.1,₹500 for two,3.1,"Civil Lines, Agra","Extensive Mocktail Menu, Staff, Friendly Staff","South Indian, Chinese, BeveragesExtensive Mocktail Menu, Staff, Friendly Staff₹500 for two4.1"
Tapas - Jaypee Palace Hotel,"North Indian, Finger Food, Bar Food, Beverages",3.9,"₹2,000 for two",4.4,"Jaypee Palace Hotel, Tajganj, Agra","Great Service, Creative Cuisine, Hospitable Staff","North Indian, Finger Food, Bar Food, BeveragesGreat Service, Creative Cuisine, Hospitable Staff₹2,000 for two3.9"
Apna Zaika Restaurant And Cafe,"North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages",New,₹300 for two,4.0,"Khandari, Agra","Impeccable Presentation, Cafe, Satisfying Portions","North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Shake, BeveragesImpeccable Presentation, Cafe, Satisfying Portions₹300 for twoNew"
Awadhi Foods,"North Indian, Rolls, Mughlai",4.2,₹400 for two,2.5,"Civil Lines, Agra","Peaceful Ambience, Ambiance, Ambience","North Indian, Rolls, MughlaiPeaceful Ambience, Ambiance, Ambience₹400 for two4.2"
BON BARBECUE,"North Indian, Chinese, Continental, Seafood, Desserts",4.2,"₹1,600 for two",4.2,"Tajganj, Agra","Customizable Dishes, Friendly Staff, Great Service","North Indian, Chinese, Continental, Seafood, DessertsCustomizable Dishes, Friendly Staff, Great Service₹1,600 for two4.2"
Mero Vrindavan Fast Foods,Fast Food,New,₹300 for two,2.3,"Lohamandi, Agra","Creative Cuisine, Weekend Brunch, Live Sports Screening","Fast FoodCreative Cuisine, Weekend Brunch, Live Sports Screening₹300 for twoNew"
3 Idiots Family Restaurant,"North Indian, Chinese, Pizza, Fast Food, Street Food, Beverages",New,₹400 for two,4.4,"Gopal Pura, Agra","Authentic Flavors, Sophisticated, Consistent Quality","North Indian, Chinese, Pizza, Fast Food, Street Food, BeveragesAuthentic Flavors, Sophisticated, Consistent Quality₹400 for twoNew"
Moon Light Punjabi Restaurant,"North Indian, South Indian, Chinese",4.1,₹300 for two,7.3,"Sikandra, Agra","Comfortable Seating, Cozy Ambiance, Attentive Service","North Indian, South Indian, ChineseComfortable Seating, Cozy Ambiance, Attentive Service₹300 for two4.1"
Shree Balaji Maharaj Dhaba & Family Restaurant,North Indian,New,₹300 for two,3.8,"Trans Yamuna, Agra","Consistent Quality, Quantity, Clean Environment","North IndianConsistent Quality, Quantity, Clean Environment₹300 for twoNew"
Hotel Jai Hind & Restaurant,"North Indian, Mughlai, Fast Food",4.3,₹500 for two,2.6,"Agra Cantt, Agra","Weekend Brunch, Brewed Beer, Young Crowd","North Indian, Mughlai, Fast FoodWeekend Brunch, Brewed Beer, Young Crowd₹500 for two4.3"
Rose Bud Cafe,"Fast Food, Pizza, Burger, Sandwich, Wraps, Pasta, Beverages, Bakery",-,₹400 for two,5.7,"Lohamandi, Agra","Quantity, Delicious Food, Young Crowd","Fast Food, Pizza, Burger, Sandwich, Wraps, Pasta, Beverages, BakeryQuantity, Delicious Food, Young Crowd₹400 for two-"
Taj Bano - ITC Mughal,"Mughlai, North Indian",4.1,"₹3,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Cafe, Diverse Menu, Brewed Beer","Mughlai, North IndianCafe, Diverse Menu, Brewed Beer₹3,000 for two4.1"
The Royal Bistro,"North Indian, Shake, Beverages",3.9,₹300 for two,3.3,"Civil Lines, Agra","Cozy Ambiance, Customizable Dishes, Great for Dates","North Indian, Shake, BeveragesCozy Ambiance, Customizable Dishes, Great for Dates₹300 for two3.9"
Yadav Dhaba,North Indian,3.3,₹350 for two,2.8,"Civil Lines, Agra","Main Course, Variety of Beer, Hospitality","North IndianMain Course, Variety of Beer, Hospitality₹350 for two3.3"
The Park Restaurant,"North Indian, Chinese, Continental, Mughlai, Beverages, Biryani",3.5,₹800 for two,2.5,"Agra Cantt, Agra","Great for Dates, Main Course, Brewed Beer","North Indian, Chinese, Continental, Mughlai, Beverages, BiryaniGreat for Dates, Main Course, Brewed Beer₹800 for two3.5"
Sheesh Mahal - Mansingh Palace,"North Indian, Chinese, Continental",3.8,"₹1,800 for two",2.5,"Mansingh Palace, Tajganj, Agra","Staff, Local Sourcing, Memorable Experience","North Indian, Chinese, ContinentalStaff, Local Sourcing, Memorable Experience₹1,800 for two3.8"
Celebration Restaurant,"Chinese, North Indian, Street Food, South Indian, Desserts, Continental, Pizza, Beverages",3.9,"₹1,000 for two",3.9,"Kamla Nagar, Agra","Satisfying Portions, Exquisite Taste, Live Sports Screening","Chinese, North Indian, Street Food, South Indian, Desserts, Continental, Pizza, BeveragesSatisfying Portions, Exquisite Taste, Live Sports Screening₹1,000 for two3.9"
Ashoka Bar,North Indian,4.4,"₹1,000 for two",2.7,"Civil Lines, Agra","Main Course, Inviting Decor, Authentic Flavors","North IndianMain Course, Inviting Decor, Authentic Flavors₹1,000 for two4.4"
Zaaki Crystal Club And restaurant,"North Indian, Beverages, Chinese, Street Food",-,₹600 for two,3.8,"Kamla Nagar, Agra","Brewed Beer, Local Sourcing, Clean Environment","North Indian, Beverages, Chinese, Street FoodBrewed Beer, Local Sourcing, Clean Environment₹600 for two-"
Maa Vaishno Restaurant,North Indian,3.8,₹300 for two,5.4,"Tajganj, Agra","Cafe, Young Crowd, Ambience","North IndianCafe, Young Crowd, Ambience₹300 for two3.8"
Romo's Junction,"North Indian, Pizza, Chinese, Momos, Rolls",3.2,₹400 for two,7.0,"Sikandra, Agra","Peaceful Ambience, Cafe, Staff","North Indian, Pizza, Chinese, Momos, RollsPeaceful Ambience, Cafe, Staff₹400 for two3.2"
The Charcoal Chimney Restaurant,"North Indian, Chinese, Fast Food",-,"₹1,100 for two",3.7,"Tajganj, Agra","Fresh Ingredients, Innovative Dishes, Great for Dates","North Indian, Chinese, Fast FoodFresh Ingredients, Innovative Dishes, Great for Dates₹1,100 for two-"
Mughchi Mughlai & Chinese,"North Indian, Mughlai",-,"₹1,000 for two",1.2,"Civil Lines, Agra","Great Service, Cozy Ambiance, Quantity","North Indian, MughlaiGreat Service, Cozy Ambiance, Quantity₹1,000 for two-"
Ravi Patties & Mocktail Point,Street Food,4.1,₹100 for two,3.3,"Lohamandi, Agra","Breakfast, Efficient Service, Quantity","Street FoodBreakfast, Efficient Service, Quantity₹100 for two4.1"
Sri Dauji's Chatpataa,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",3.9,₹500 for two,3.5,"Kamla Nagar, Agra","Sophisticated, Satisfying Portions, Customizable Dishes","North Indian, South Indian, Chinese, Fast Food, Beverages, DessertsSophisticated, Satisfying Portions, Customizable Dishes₹500 for two3.9"
Shalimar Dhaba Veg And Non Veg,"Mughlai, North Indian",-,₹500 for two,3.9,"Trans Yamuna, Agra","Delicious Food, Fresh Ingredients, Main Course","Mughlai, North IndianDelicious Food, Fresh Ingredients, Main Course₹500 for two-"
Bhagat Halwai,"Mithai, Fast Food, North Indian",3.9,₹300 for two,4.6,"Khandari, Agra","Brewed Beer, Impeccable Presentation, Efficient Service","Mithai, Fast Food, North IndianBrewed Beer, Impeccable Presentation, Efficient Service₹300 for two3.9"
Shubh Anand Hi Anand Bhojnalaya,North Indian,3.6,₹250 for two,2.7,"Civil Lines, Agra","Impeccable Presentation, Consistent Quality, Courteous Staff","North IndianImpeccable Presentation, Consistent Quality, Courteous Staff₹250 for two3.6"
Dosa Factory,South Indian,3.5,₹300 for two,6.9,"Sikandra, Agra","Well-priced Options, Main Course, Diverse Menu","South IndianWell-priced Options, Main Course, Diverse Menu₹300 for two3.5"
Gyani Dhaba,North Indian,3.7,₹200 for two,5.9,"Dayal Bagh, Agra","Attentive Service, Cafe, Fresh Ingredients","North IndianAttentive Service, Cafe, Fresh Ingredients₹200 for two3.7"
Sardar Ji Da Dhaba,North Indian,3.7,₹400 for two,3.4,"Agra Cantt, Agra","Well-priced Options, Delicious Food, Friendly Staff","North IndianWell-priced Options, Delicious Food, Friendly Staff₹400 for two3.7"
Manohar Lal Daulat Ram Garg Gajak Wale,Mithai,4.0,₹300 for two,5.6,"Sikandra, Agra","Sustainable Practices, Good Music, Inviting Decor","MithaiSustainable Practices, Good Music, Inviting Decor₹300 for two4.0"
Ratan Pizza,"Pizza, Fast Food, Bakery",4.0,₹500 for two,3.3,"Khandari, Agra","Variety of Beer, Memorable Experience, Seasonal Menu","Pizza, Fast Food, BakeryVariety of Beer, Memorable Experience, Seasonal Menu₹500 for two4.0"
Spicy Wonder,"North Indian, Fast Food, Chinese, Continental",3.7,₹700 for two,3.3,"Kamla Nagar, Agra","Diverse Menu, Peaceful Ambience, Vintage Decor","North Indian, Fast Food, Chinese, ContinentalDiverse Menu, Peaceful Ambience, Vintage Decor₹700 for two3.7"
Level 4 Rooftop,"North Indian, Continental, Pizza, Asian, Beverages",4.0,₹600 for two,4.3,"Tajganj, Agra","Main Course, Friendly Staff, Clean Environment","North Indian, Continental, Pizza, Asian, BeveragesMain Course, Friendly Staff, Clean Environment₹600 for two4.0"
The Momo Corner,"Momos, Chinese, Beverages",4.2,₹300 for two,3.8,"Kamla Nagar, Agra","Comfortable Seating, Sophisticated, Weekend Brunch","Momos, Chinese, BeveragesComfortable Seating, Sophisticated, Weekend Brunch₹300 for two4.2"
THK- Tomars Hygiene Kitchen,"North Indian, Biryani, Chinese",3.9,₹900 for two,3.3,"Tajganj, Agra","Main Course, Weekend Brunch, Fresh Ingredients","North Indian, Biryani, ChineseMain Course, Weekend Brunch, Fresh Ingredients₹900 for two3.9"
Pizza Hub,"Pizza, Fast Food",4.2,₹300 for two,4.0,"Shahganj, Agra","Comfortable Seating, Local Sourcing, Ambience","Pizza, Fast FoodComfortable Seating, Local Sourcing, Ambience₹300 for two4.2"
Roofmates,"North Indian, Chinese, Kebab, Biryani, Fast Food, BBQ, Street Food",4.2,"₹1,100 for two",7.2,"Sikandra, Agra","Young Crowd, Ambience, Impeccable Presentation","North Indian, Chinese, Kebab, Biryani, Fast Food, BBQ, Street FoodYoung Crowd, Ambience, Impeccable Presentation₹1,100 for two4.2"
Jam House Cafe,"Cafe, Fast Food",3.9,₹500 for two,3.1,"Tajganj, Agra","Well-priced Options, Good Bartenders, Weekend Brunch","Cafe, Fast FoodWell-priced Options, Good Bartenders, Weekend Brunch₹500 for two3.9"
Daddy Plz,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",3.8,₹400 for two,6.4,"Shahganj, Agra","Memorable Experience, Friendly Staff, Authentic Flavors","North Indian, Fast Food, Chinese, Momos, South Indian, Shake, BeveragesMemorable Experience, Friendly Staff, Authentic Flavors₹400 for two3.8"
The Big Bun,"Fast Food, Burger, Desserts, Bakery",3.4,₹300 for two,3.6,"Civil Lines, Agra","Ambience, Impeccable Presentation, Seasonal Menu","Fast Food, Burger, Desserts, BakeryAmbience, Impeccable Presentation, Seasonal Menu₹300 for two3.4"
Pape Ka Dhabha,"North Indian, Mughlai",4.3,₹350 for two,0.91,"Mantola, Agra","Breakfast, Perfect Place, Good Music","North Indian, MughlaiBreakfast, Perfect Place, Good Music₹350 for two4.3"
Shankara Vegis Restaurant,"North Indian, Fast Food, Desserts, Juices, Shake",3.2,₹400 for two,2.5,"Tajganj, Agra","Cafe, Brewed Beer, Flavorful Creations","North Indian, Fast Food, Desserts, Juices, ShakeCafe, Brewed Beer, Flavorful Creations₹400 for two3.2"
Kings Spoon - Bhawna Clarks Inn,"North Indian, Chinese, Continental",3.3,"₹1,500 for two",5.6,"Sikandra, Agra","Live Sports Screening, Brewed Beer, Well-priced Options","North Indian, Chinese, ContinentalLive Sports Screening, Brewed Beer, Well-priced Options₹1,500 for two3.3"
The Divine Delight,"Chinese, South Indian, Continental, North Indian, Beverages",3.7,"₹1,000 for two",4.6,"Khandari, Agra","Sustainable Practices, Innovative Dishes, Sophisticated","Chinese, South Indian, Continental, North Indian, BeveragesSustainable Practices, Innovative Dishes, Sophisticated₹1,000 for two3.7"
Cafe Coffee Day,"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",3.5,₹750 for two,2.8,"Civil Lines, Agra","Friendly Staff, Flavorful Creations, Brewed Beer","Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, ShakeFriendly Staff, Flavorful Creations, Brewed Beer₹750 for two3.5"
Onyx Bar,"Bar Food, Coffee",-,"₹3,500 for two",4.7,"Tajganj, Agra","Consistent Quality, Ambience, Peaceful Ambience","Bar Food, CoffeeConsistent Quality, Ambience, Peaceful Ambience₹3,500 for two-"
Tea Coffee And Snacks,"North Indian, Fast Food, Street Food, Beverages",4.1,₹400 for two,3.2,"Lohamandi, Agra","Consistent Quality, Trendy Setting, Extensive Mocktail Menu","North Indian, Fast Food, Street Food, BeveragesConsistent Quality, Trendy Setting, Extensive Mocktail Menu₹400 for two4.1"
Om Sai Food Court,"Fast Food, Street Food",3.7,₹100 for two,5.9,"Dayal Bagh, Agra","Comfortable Seating, Vintage Decor, Warm Atmosphere","Fast Food, Street FoodComfortable Seating, Vintage Decor, Warm Atmosphere₹100 for two3.7"
The Bar- The Oberoi Amarvilas,"Bar Food, North Indian",-,"₹4,000 for two",3.2,"Tajganj, Agra","Weekend Brunch, Flavorful Creations, Great for Dates","Bar Food, North IndianWeekend Brunch, Flavorful Creations, Great for Dates₹4,000 for two-"
Om Restaurant,"North Indian, South Indian",3.8,₹250 for two,1.5,"Rakabganj, Agra","Seasonal Menu, Sustainable Practices, Well-priced Options","North Indian, South IndianSeasonal Menu, Sustainable Practices, Well-priced Options₹250 for two3.8"
TOS - Taste Of Shawarma,"Shawarma, Fast Food",3.6,₹300 for two,3.3,"Civil Lines, Agra","Satisfying Portions, Authentic Flavors, Great Service","Shawarma, Fast FoodSatisfying Portions, Authentic Flavors, Great Service₹300 for two3.6"
The Orbit Gastro Pub,"North Indian, Mughlai, Continental, Biryani, Chinese, Sushi, Momos, Desserts",New,"₹1,000 for two",7.0,"Sikandra, Agra","Perfect Place, Impeccable Presentation, Fresh Ingredients","North Indian, Mughlai, Continental, Biryani, Chinese, Sushi, Momos, DessertsPerfect Place, Impeccable Presentation, Fresh Ingredients₹1,000 for twoNew"
Dilshad Biryani,Biryani,4.2,₹300 for two,1.8,"Mantola, Agra","Good Music, Ambience, Consistent Quality","BiryaniGood Music, Ambience, Consistent Quality₹300 for two4.2"
Esphahan - The Oberoi Amarvilas,"North Indian, Biryani, Desserts, Kebab",4.9,"₹5,800 for two",3.3,"The Oberoi Amarvilas, Tajganj, Agra","Efficient Service, Local Sourcing, Breakfast","North Indian, Biryani, Desserts, KebabEfficient Service, Local Sourcing, Breakfast₹5,800 for two4.9"
Panchi Petha,Mithai,3.6,₹400 for two,4.4,"Tajganj, Agra","Hospitable Staff, Comfortable Seating, Attentive Service","MithaiHospitable Staff, Comfortable Seating, Attentive Service₹400 for two3.6"
Om Sai Ram Bhojnalaya,North Indian,3.5,₹200 for two,5.2,"Khandari, Agra","Cozy Ambiance, Sophisticated, Creative Cuisine","North IndianCozy Ambiance, Sophisticated, Creative Cuisine₹200 for two3.5"
The Greener Side,"Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, Waffle",-,₹600 for two,2.9,"Khandari, Agra","Delicious Food, Courteous Staff, Local Sourcing","Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, WaffleDelicious Food, Courteous Staff, Local Sourcing₹600 for two-"
First Floor Cafe,"Coffee, Shake, Desserts, Beverages",3.9,₹500 for two,3.9,"Khandari, Agra","Perfect Place, Creative Cuisine, Exquisite Taste","Coffee, Shake, Desserts, BeveragesPerfect Place, Creative Cuisine, Exquisite Taste₹500 for two3.9"
Good Vibes Cafe,"North Indian, Mughlai, Street Food, Fast Food, Continental, Desserts, Beverages",3.2,₹400 for two,3.8,"Tajganj, Agra","Main Course, Memorable Experience, Live Sports Screening","North Indian, Mughlai, Street Food, Fast Food, Continental, Desserts, BeveragesMain Course, Memorable Experience, Live Sports Screening₹400 for two3.2"
Shayhub,"Fast Food, Beverages, Pizza, Sandwich",4.0,₹200 for two,3.8,"Kamla Nagar, Agra","Inviting Decor, Ambiance, Exquisite Taste","Fast Food, Beverages, Pizza, SandwichInviting Decor, Ambiance, Exquisite Taste₹200 for two4.0"
Cafe Double Shot,"Cafe, Coffee, Fast Food, Beverages, Chinese",4.2,₹600 for two,1.4,"Rakabganj, Agra","Exquisite Taste, Inviting Decor, Customizable Dishes","Cafe, Coffee, Fast Food, Beverages, ChineseExquisite Taste, Inviting Decor, Customizable Dishes₹600 for two4.2"
Sapna Bar-Be-Que,"North Indian, Rolls, Beverages",3.9,₹500 for two,2.8,"Tajganj, Agra","Vintage Decor, Great for Dates, Quantity","North Indian, Rolls, BeveragesVintage Decor, Great for Dates, Quantity₹500 for two3.9"
Om Bhojanalaya,North Indian,4.0,₹400 for two,2.5,"Agra Cantt, Agra","Extensive Mocktail Menu, Creative Cuisine, Young Crowd","North IndianExtensive Mocktail Menu, Creative Cuisine, Young Crowd₹400 for two4.0"
Metro Bar,Bar Food,3.9,"₹1,500 for two",2.7,"Hotel Metro, Civil Lines, Agra","Cozy Ambiance, Clean Environment, Memorable Experience","Bar FoodCozy Ambiance, Clean Environment, Memorable Experience₹1,500 for two3.9"
Chota Mama Chicken & Mama Veg,"North Indian, Chinese, Rolls, Biryani, Mughlai",3.2,₹500 for two,7.0,"Sikandra, Agra","Quantity, Variety of Beer, Great Service","North Indian, Chinese, Rolls, Biryani, MughlaiQuantity, Variety of Beer, Great Service₹500 for two3.2"
New Pari Family Restaurant,North Indian,2.5,₹300 for two,7.6,"Sikandra, Agra","Fresh Ingredients, Courteous Staff, Great for Dates","North IndianFresh Ingredients, Courteous Staff, Great for Dates₹300 for two2.5"
Satkar Pastries,"Pizza, Desserts, Fast Food",3.8,₹400 for two,2.4,"Civil Lines, Agra","Well-priced Options, Flavorful Creations, Great for Dates","Pizza, Desserts, Fast FoodWell-priced Options, Flavorful Creations, Great for Dates₹400 for two3.8"
Labbaik Chicken Corner,"North Indian, Mughlai",3.8,₹600 for two,1.8,"Mantola, Agra","Delicious Food, Efficient Service, Peaceful Ambience","North Indian, MughlaiDelicious Food, Efficient Service, Peaceful Ambience₹600 for two3.8"
Qaisar Bagh Restaurant,"North Indian, Mughlai, Chinese, Continental, Fast Food",4.0,"₹1,400 for two",2.2,"Tajganj, Agra","Perfect Place, Staff, Good Bartenders","North Indian, Mughlai, Chinese, Continental, Fast FoodPerfect Place, Staff, Good Bartenders₹1,400 for two4.0"
Hunger Point Cafe And Restaurant,"North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, Beverages",4.0,₹300 for two,3.5,"Tajganj, Agra","Hospitable Staff, Quantity, Fresh Ingredients","North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, BeveragesHospitable Staff, Quantity, Fresh Ingredients₹300 for two4.0"
The Chef's Club,"North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, Beverages",3.8,"₹1,100 for two",4.3,"Tajganj, Agra","Creative Cuisine, Live Sports Screening, Memorable Experience","North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, BeveragesCreative Cuisine, Live Sports Screening, Memorable Experience₹1,100 for two3.8"
Cake & More,"Shake, Fast Food, Beverages, Pizza, Desserts",3.9,₹400 for two,3.9,"Kamla Nagar, Agra","Flavorful Creations, Impeccable Presentation, Delicious Food","Shake, Fast Food, Beverages, Pizza, DessertsFlavorful Creations, Impeccable Presentation, Delicious Food₹400 for two3.9"
Nijam Khan Chicken Biryani Shop,Biryani,3.5,₹200 for two,5.3,"Agra Cantt, Agra","Trendy Setting, Innovative Dishes, Main Course","BiryaniTrendy Setting, Innovative Dishes, Main Course₹200 for two3.5"
The Tea Lounge - Jaypee Palace Hotel,Tea,3.8,"₹1,300 for two",4.2,"Jaypee Palace Hotel, Tajganj, Agra","Hospitable Staff, Seasonal Menu, Good Bartenders","TeaHospitable Staff, Seasonal Menu, Good Bartenders₹1,300 for two3.8"
Ekaa Villa,North Indian,4.3,₹700 for two,4.3,"Tajganj, Agra","Courteous Staff, Sophisticated, Creative Cuisine","North IndianCourteous Staff, Sophisticated, Creative Cuisine₹700 for two4.3"
Bhagwati Dhaba,North Indian,4.0,₹200 for two,9.7,"Sikandra, Agra","Fresh Ingredients, Perfect Place, Breakfast","North IndianFresh Ingredients, Perfect Place, Breakfast₹200 for two4.0"
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Beverages, Continental",3.7,₹400 for two,1.8,"Rakabganj, Agra","Trendy Setting, Seasonal Menu, Main Course","North Indian, Chinese, Fast Food, Beverages, ContinentalTrendy Setting, Seasonal Menu, Main Course₹400 for two3.7"
Sher-E-Punjab Dhaba,"North Indian, Beverages, Street Food",4.1,₹300 for two,4.0,"Tajganj, Agra","Great Service, Inviting Decor, Exquisite Taste","North Indian, Beverages, Street FoodGreat Service, Inviting Decor, Exquisite Taste₹300 for two4.1"
Giani Ice Cream,"Desserts, Ice Cream",4.8,₹300 for two,2.5,"Agra Cantt, Agra","Diverse Menu, Efficient Service, Brewed Beer","Desserts, Ice CreamDiverse Menu, Efficient Service, Brewed Beer₹300 for two4.8"
Yadav Dhaba Purana,North Indian,3.9,₹300 for two,2.7,"Civil Lines, Agra","Diverse Menu, Good Bartenders, Weekend Brunch","North IndianDiverse Menu, Good Bartenders, Weekend Brunch₹300 for two3.9"
Navratan Fast Food & Restaurant,"North Indian, South Indian, Fast Food, Shake, Street Food, Beverages",4.1,₹500 for two,4.0,"Khandari, Agra","Hospitable Staff, Vintage Decor, Main Course","North Indian, South Indian, Fast Food, Shake, Street Food, BeveragesHospitable Staff, Vintage Decor, Main Course₹500 for two4.1"
Anjali's Kitchen,"North Indian, Chinese, Fast Food",3.6,₹300 for two,8.4,"Sikandra, Agra","Variety of Beer, Innovative Dishes, Ambiance","North Indian, Chinese, Fast FoodVariety of Beer, Innovative Dishes, Ambiance₹300 for two3.6"
Flavours Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts",4.2,"₹1,000 for two",2.6,"Civil Lines, Agra","Vintage Decor, Local Sourcing, Live Sports Screening","North Indian, Chinese, Fast Food, South Indian, DessertsVintage Decor, Local Sourcing, Live Sports Screening₹1,000 for two4.2"
Brijwasi Sweet House & Restaurant,"North Indian, Chinese, South Indian, Desserts, Mithai, Beverages",3.7,₹500 for two,2.5,"Agra Cantt, Agra","Cozy Ambiance, Consistent Quality, Innovative Dishes","North Indian, Chinese, South Indian, Desserts, Mithai, BeveragesCozy Ambiance, Consistent Quality, Innovative Dishes₹500 for two3.7"
First Chai,"Tea, Street Food, Fast Food, Shake",4.0,₹400 for two,7.7,"Sikandra, Agra","Authentic Flavors, Consistent Quality, Efficient Service","Tea, Street Food, Fast Food, ShakeAuthentic Flavors, Consistent Quality, Efficient Service₹400 for two4.0"
Parinda Sky Disc And Lounge,"North Indian, Mughlai, Chinese, Fast Food",3.9,"₹1,500 for two",5.9,"Khandari, Agra","Quantity, Courteous Staff, Delicious Food","North Indian, Mughlai, Chinese, Fast FoodQuantity, Courteous Staff, Delicious Food₹1,500 for two3.9"
Laziz Pizza,"Pizza, Burger, Fast Food",3.6,₹350 for two,3.3,"Civil Lines, Agra","Good Bartenders, Customizable Dishes, Seasonal Menu","Pizza, Burger, Fast FoodGood Bartenders, Customizable Dishes, Seasonal Menu₹350 for two3.6"
Pizza Star - The Italian Food Corner,"Pizza, Fast Food",3.8,₹400 for two,6.5,"Shahganj, Agra","Diverse Menu, Customizable Dishes, Peaceful Ambience","Pizza, Fast FoodDiverse Menu, Customizable Dishes, Peaceful Ambience₹400 for two3.8"
Pizza Pasta Day,"Pizza, Pasta, Fast Food, Beverages",3.8,₹300 for two,3.8,"Tajganj, Agra","Hospitable Staff, Good Music, Efficient Service","Pizza, Pasta, Fast Food, BeveragesHospitable Staff, Good Music, Efficient Service₹300 for two3.8"
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.6,₹400 for two,4.0,"Khandari, Agra","Creative Cuisine, Attentive Service, Good Music","Ice Cream, Desserts, BeveragesCreative Cuisine, Attentive Service, Good Music₹400 for two3.6"
Sathvik Padukone South Indian Dosa Corner,South Indian,3.7,₹200 for two,3.2,"Agra Cantt, Agra","Memorable Experience, Brewed Beer, Hospitable Staff","South IndianMemorable Experience, Brewed Beer, Hospitable Staff₹200 for two3.7"
Panchhi Petha Namkeen,"Mithai, Desserts",3.9,₹200 for two,8.7,"Tajganj, Agra","Creative Cuisine, Great Service, Satisfying Portions","Mithai, DessertsCreative Cuisine, Great Service, Satisfying Portions₹200 for two3.9"
The Briston Kitchen,"North Indian, Fast Food, Chinese, Momos",3.9,₹600 for two,3.5,"Tajganj, Agra","Staff, Ambience, Sustainable Practices","North Indian, Fast Food, Chinese, MomosStaff, Ambience, Sustainable Practices₹600 for two3.9"
Hotel Poonam Plaza,"North Indian, Chinese",4.0,"₹1,200 for two",4.1,"Dayal Bagh, Agra","Courteous Staff, Trendy Setting, Ambience","North Indian, ChineseCourteous Staff, Trendy Setting, Ambience₹1,200 for two4.0"
